,Abb,EV_Rep,EV_Dem,PV_Rep,PV_Dem,PV_Other,PV_Total,State,State Capital
0,AL,9,,"1,318,255","729,547","75,570","2,123,372",Alabama,Montgomery
1,AK,3,,"163,387","116,454","38,767","318,608",Alaska,Juneau
2,AZ,11,,"1,252,401","1,161,167","159,597","2,573,165",Arizona,Phoenix
3,AR,6,,"684,872","380,494","65,310","1,130,676",Arkansas,Little Rock
4,CA,,55,"4,483,814","8,753,792","943,998","14,181,604",California,Sacramento
5,CO,,9,"1,202,484","1,338,870","238,893","2,780,247",Colorado,Denver
6,CT,,7,"673,215","897,572","74,133","1,644,920",Connecticut,Hartford
7,DE,,3,"185,127","235,603","23,084","443,814",Delaware,Dover
8,DC,,3,"12,723","282,830","15,715","311,268",District of Columbia,
9,FL,29,,"4,617,886","4,504,975","297,178","9,420,039",Florida,Tallahassee
10,GA,16,,"2,089,104","1,877,963","147,665","4,114,732",Georgia,Atlanta
11,HI,,3**,"128,847","266,891","33,199","428,937",Hawaii,Honolulu
12,ID,4,,"409,055","189,765","91,435","690,255",Idaho,Boise
13,IL,,20,"2,146,015","3,090,729","299,680","5,536,424",Illinois,Springfield
14,IN,11,,"1,557,286","1,033,126","144,546","2,734,958",Indiana,Indianapolis
15,IA,6,,"800,983","653,669","111,379","1,566,031",Iowa,Des Moines
16,KS,6,,"671,018","427,005","86,379","1,184,402",Kansas,Topeka
17,KY,8,,"1,202,971","628,854","92,324","1,924,149",Kentucky,Frankfort
18,LA,8,,"1,178,638","780,154","70,240","2,029,032",Louisiana,Baton Rouge
19,ME,1,3,"335,593","357,735","54,599","747,927",Maine,Augusta
20,MD,,10,"943,169","1,677,928","160,349","2,781,446",Maryland,Annapolis
21,MA,,11,"1,090,893","1,995,196","238,957","3,325,046",Massachusetts,Boston
22,MI,16,,"2,279,543","2,268,839","250,902","4,799,284",Michigan,Lansing
23,MN,,10,"1,322,951","1,367,716","254,146","2,944,813",Minnesota,St. Paul
24,MS,6,,"700,714","485,131","23,512","1,209,357",Mississippi,Jackson
25,MO,10,,"1,594,511","1,071,068","143,026","2,808,605",Missouri,Jefferson City
26,MT,3,,"279,240","177,709","40,198","497,147",Montana,Helena
27,NE,5,,"495,961","284,494","63,772","844,227",Nebraska,Lincoln
28,NV,,6,"512,058","539,260","74,067","1,125,385",Nevada,Carson City
29,NH,,4,"345,790","348,526","49,980","744,296",New Hampshire,Concord
30,NJ,,14,"1,601,933","2,148,278","123,835","3,874,046",New Jersey,Trenton
31,NM,,5,"319,667","385,234","93,418","798,319",New Mexico,Santa Fe
32,NY,,29,"2,819,533","4,556,118","345,791","7,721,442",New York,Albany
33,NC,15,,"2,362,631","2,189,316","189,617","4,741,564",North Carolina,Raleigh
34,ND,3,,"216,794","93,758","33,808","344,360",North Dakota,Bismarck
35,OH,18,,"2,841,005","2,394,164","261,318","5,496,487",Ohio,Columbus
36,OK,7,,"949,136","420,375","83,481","1,452,992",Oklahoma,Oklahoma City
37,OR,,7,"782,403","1,002,106","216,827","2,001,336",Oregon,Salem
38,PA,20,,"2,970,733","2,926,441","268,304","6,165,478",Pennsylvania,Harrisburg
39,RI,,4,"180,543","252,525","31,076","464,144",Rhode Island,Providence
40,SC,9,,"1,155,389","855,373","92,265","2,103,027",South Carolina,Columbia
41,SD,3,,"227,721","117,458","24,914","370,093",South Dakota,Pierre
42,TN,11,,"1,522,925","870,695","114,407","2,508,027",Tennessee,Nashville
43,TX,36*,,"4,685,047","3,877,868","406,311","8,969,226",Texas,Austin
44,UT,6,,"515,231","310,676","305,523","1,131,430",Utah,Salt Lake City
45,VT,,3,"95,369","178,573","41,125","315,067",Vermont,Montpelier
46,VA,,13,"1,769,443","1,981,473","233,715","3,984,631",Virginia,Richmond
47,WA,,8**,"1,221,747","1,742,718","352,554","3,317,019",Washington,Olympia
48,WV,5,,"489,371","188,794","36,258","714,423",West Virginia,Charleston
49,WI,10,,"1,405,284","1,382,536","188,330","2,976,150",Wisconsin,Madison
50,WY,3,,"174,419","55,973","25,457","255,849",Wyoming,Cheyenne
